Source,Target,EdgeType,weight,final_label
Patient 0,Doctor 7983,4,0.271686971,0
Patient 1,Doctor 5051,4,0.02709638,0
Patient 2,Doctor 621,4,0.520446539,0
Patient 3,Doctor 7882,4,0.154118478,0
Patient 4,Doctor 2671,4,0.083365783,0
Patient 4,Doctor 4648,4,0.012374076,0
Patient 4,Doctor 5255,4,0.012732559,0
Patient 4,Doctor 6175,4,0.004733523,0
Patient 4,Doctor 6476,4,0.065522604,0
Patient 5,Doctor 5638,4,0.534427822,0
Patient 6,Doctor 1598,4,0.52762568,0
Patient 7,Doctor 6383,4,0.041259561,0
Patient 9,Doctor 127,4,0.282360643,0
Patient 9,Doctor 6388,4,0.311050981,0
Patient 10,Doctor 116,4,0.167843521,0
Patient 10,Doctor 1536,4,0.091536514,0
Patient 10,Doctor 5408,4,0.130050629,0
Patient 11,Doctor 3484,4,0.153123051,0
Patient 11,Doctor 7862,4,0.053356808,0
Patient 11,Doctor 8620,4,0.019443847,0
Patient 12,Doctor 1111,4,0.1161732,0
Patient 13,Doctor 9025,4,0.030673204,0
Patient 14,Doctor 2505,4,0.201626778,0
Patient 15,Doctor 4885,4,0.05513658,0
Patient 16,Doctor 5269,4,0.076674119,0
Patient 17,Doctor 3270,4,0.480381817,0
Patient 18,Doctor 2800,4,0.4597978,0
Patient 19,Doctor 4350,4,0.502954483,0
Patient 21,Doctor 621,4,0.534285963,0
Patient 22,Doctor 8119,4,0.160773635,0
Patient 23,Doctor 7425,4,0.02556414,0
Patient 24,Doctor 4494,4,0.463844985,0
Patient 25,Doctor 2800,4,0.376458436,0
Patient 26,Doctor 1598,4,0.325236052,0
Patient 26,Doctor 3786,4,0.006558755,0
Patient 27,Doctor 2818,4,0.504773438,0
Patient 28,Doctor 6267,4,0.077517919,0
Patient 29,Doctor 8325,4,0.431910545,0
Patient 30,Doctor 3358,4,0.271652907,0
Patient 32,Doctor 1599,4,0.328307033,0
Patient 33,Doctor 6402,4,0.207847416,0
Patient 35,Doctor 8415,4,0.068743505,0
Patient 36,Doctor 7234,4,0.244483694,0
Patient 37,Doctor 2279,4,0.009555023,0
Patient 37,Doctor 5187,4,0.154164538,0
Patient 38,Doctor 122,4,0.112800904,0
Patient 38,Doctor 5606,4,0.368325412,0
Patient 39,Doctor 1489,4,0.072399847,0
Patient 39,Doctor 5390,4,0.030624481,0
Patient 40,Doctor 7822,4,0.532744288,0
Patient 41,Doctor 6603,4,0.304796308,0
Patient 42,Doctor 3276,4,0.103593141,0
Patient 44,Doctor 4946,4,0.108694695,0
Patient 46,Doctor 7685,4,0.152927607,0
Patient 48,Doctor 714,4,0.056749325,0
Patient 49,Doctor 62,4,0.058689632,0
Patient 50,Doctor 3117,4,0.033305176,0
Patient 50,Doctor 6814,4,0.264357358,0
Patient 52,Doctor 733,4,0.106623128,0
Patient 52,Doctor 5369,4,0.207898468,0
Patient 53,Doctor 5571,4,0.429122865,0
Patient 54,Doctor 1037,4,0.094102308,0
Patient 54,Doctor 7942,4,0.019259386,0
Patient 54,Doctor 8757,4,0.199292257,0
Patient 55,Doctor 5317,4,0.146421254,0
Patient 56,Doctor 7693,4,0.317198426,0
Patient 57,Doctor 4240,4,0.047393251,0
Patient 58,Doctor 5164,4,0.562527716,0
Patient 59,Doctor 737,4,0.030611005,0
Patient 59,Doctor 3141,4,0.033525113,0
Patient 59,Doctor 5245,4,0.250059873,0
Patient 60,Doctor 2270,4,0.409049869,0
Patient 62,Doctor 4942,4,0.41823718,0
Patient 63,Doctor 2084,4,0.053470075,0
Patient 64,Doctor 3011,4,0.140269801,0
Patient 64,Doctor 8315,4,0.193215162,0
Patient 65,Doctor 5724,4,0.141328588,0
Patient 66,Doctor 2493,4,0.163465619,0
Patient 66,Doctor 2506,4,0.35266304,0
Patient 68,Doctor 1211,4,0.336188257,0
Patient 69,Doctor 3274,4,0.159086093,0
Patient 70,Doctor 2156,4,0.096025027,0
Patient 71,Doctor 527,4,0.118133686,0
Patient 72,Doctor 5675,4,0.027188634,0
Patient 75,Doctor 3798,4,0.063156717,0
Patient 76,Doctor 621,4,0.40080449,0
Patient 76,Doctor 4284,4,0.101552986,0
Patient 76,Doctor 8403,4,0.045048062,0
Patient 77,Doctor 6791,4,0.110816106,0
Patient 79,Doctor 4201,4,0.35371387,0
Patient 80,Doctor 1409,4,0.083828181,0
Patient 80,Doctor 3100,4,0.098953143,0
Patient 81,Doctor 5984,4,0.032866094,0
Patient 82,Doctor 5368,4,0.532840133,0
Patient 83,Doctor 2959,4,0.148222581,0
Patient 84,Doctor 1598,4,0.095972233,0
Patient 84,Doctor 2671,4,0.084254891,0
Patient 84,Doctor 2847,4,0.001428301,0
Patient 84,Doctor 8757,4,0.082353763,0
Patient 84,Doctor 8859,4,0.019218167,0
Patient 85,Doctor 316,4,0.195670247,0
Patient 86,Doctor 622,4,0.481636226,0
Patient 87,Doctor 7348,4,0.190928578,0
Patient 88,Doctor 2375,4,0.376795471,0
Patient 90,Doctor 2493,4,0.11711929,0
Patient 90,Doctor 6388,4,0.32886222,0
Patient 91,Doctor 6786,4,0.113859251,0
Patient 92,Doctor 551,4,0.04897346,0
Patient 92,Doctor 3811,4,0.118412375,0
Patient 94,Doctor 681,4,0.252694935,0
Patient 96,Doctor 4195,4,0.241538838,0
Patient 97,Doctor 5209,4,0.114071324,0
Patient 98,Doctor 64,4,0.029289575,0
Patient 98,Doctor 625,4,0.103796549,0
Patient 98,Doctor 1424,4,0.085634358,0
Patient 98,Doctor 6184,4,0.096988291,0
Patient 98,Doctor 7803,4,0.118170232,0
Patient 98,Doctor 8463,4,0.1153185,0
Patient 99,Doctor 6324,4,0.060060531,0
Patient 100,Doctor 5167,4,0.092318878,0
Patient 101,Doctor 48,4,0.144103616,0
Patient 101,Doctor 147,4,0.014109978,0
Patient 101,Doctor 169,4,0.016695926,0
Patient 101,Doctor 498,4,0.122659318,0
Patient 101,Doctor 6497,4,0.112273075,0
Patient 101,Doctor 7685,4,0.026916927,0
Patient 101,Doctor 7870,4,0.021324255,0
Patient 102,Doctor 1533,4,0.473947167,0
Patient 103,Doctor 3047,4,0.277715266,0
Patient 104,Doctor 2693,4,0.019726159,0
Patient 107,Doctor 2732,4,0.043342475,0
Patient 108,Doctor 4437,4,0.037346307,0
Patient 108,Doctor 8946,4,0.108572952,0
Patient 109,Doctor 141,4,0.15156436,0
Patient 109,Doctor 5324,4,0.090521105,0
Patient 110,Doctor 5332,4,0.448432505,0
Patient 111,Doctor 4227,4,0.30860281,0
Patient 112,Doctor 3484,4,0.271541566,0
Patient 112,Doctor 6603,4,0.403588384,0
Patient 114,Doctor 8859,4,0.251139551,0
Patient 119,Doctor 2568,4,0.123435669,0
Patient 120,Doctor 4791,4,0.201648548,0
Patient 120,Doctor 5444,4,0.180699632,0
Patient 121,Doctor 7077,4,0.468979806,0
Patient 122,Doctor 2214,4,0.016672622,0
Patient 122,Doctor 3224,4,0.130392984,0
Patient 123,Doctor 47,4,0.509924948,0
